Range: 0 seconds to 4 minutes 16.1 seconds.

Call Paths:

[Process]/{Thread}/Code,# Total: Samples,% Total: Samples,# Self: Samples,% Self: Samples,# Process: Samples,% Process: Samples,Stack Depth,Location
"        <unknown code in libc.so>",36,0.07%,35,0.07%,36,0.07%,0,libc.so
"          <unknown code in [vdso]>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,[vdso]
"        <unknown code in libGPUCounters.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libGPUCounters.so
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  mali-mem-purge #32590",37,0.07%,,,37,0.07%,,-
"    <unknown code in libc.so>",21,0.04%,,,21,0.04%,0,libc.so
"      <unknown code in libGLES_mali.so>",21,0.04%,2,< 0.01%,21,0.04%,0,libGLES_mali.so
"        <unknown code in libc.so>",19,0.04%,19,0.04%,19,0.04%,0,libc.so
"    <unknown code in libGLES_mali.so>",12,0.02%,1,< 0.01%,12,0.02%,0,libGLES_mali.so
"      <unknown code in libc.so>",11,0.02%,11,0.02%,11,0.02%,0,libc.so
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  Foregro-dby #1) #32631",8,0.02%,,,8,0.02%,,-
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"    <unknown code in libc.so>",4,< 0.01%,,,4,< 0.01%,0,libc.so
"      <unknown code in libUnreal.so>",4,< 0.01%,1,< 0.01%,4,< 0.01%,0,libUnreal.so
"        <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"        <unknown code in libGPUCounters.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libGPUCounters.so
"  IoDispatcher #32689",7,0.01%,,,7,0.01%,,-
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"    <unknown code in libc.so>",3,< 0.01%,,,3,< 0.01%,0,libc.so
"      <unknown code in libUnreal.so>",3,< 0.01%,2,< 0.01%,3,< 0.01%,0,libUnreal.so
"        <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"  IoService #32687",5,< 0.01%,,,5,< 0.01%,,-
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"    <unknown code in libc.so>",2,< 0.01%,,,2,< 0.01%,0,libc.so
"      <unknown code in libUnreal.so>",2,< 0.01%,,,2,< 0.01%,0,libUnreal.so
"        <unknown code in libc.so>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,libc.so
"  Jit thread pool #32382",5,< 0.01%,,,5,< 0.01%,,-
"    <unknown code in libc.so>",3,< 0.01%,,,3,< 0.01%,0,libc.so
"      <unknown code in libart.so>",3,< 0.01%,2,< 0.01%,3,< 0.01%,0,libart.so
"        <unknown code in libartbase.so>",1,< 0.01%,,,1,< 0.01%,0,libartbase.so
"          <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  Backgro-dby #0) #32634",4,< 0.01%,,,4,< 0.01%,,-
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  IOThreadPool #3 #32683",4,< 0.01%,,,4,< 0.01%,,-
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  PSOPrec-Pool #6 #814",4,< 0.01%,,,4,< 0.01%,,-
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  PSOPrecompilePo #779",4,< 0.01%,,,4,< 0.01%,,-
"    <unknown code in kernel>",4,< 0.01%,4,< 0.01%,4,< 0.01%,0,kernel
"  com.YourCompany.SunTemple2 #32503",3,< 0.01%,,,3,< 0.01%,,-
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  HeapTaskDaemon #32383",3,< 0.01%,,,3,< 0.01%,,-
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  mali-event-hand #32435",3,< 0.01%,,,3,< 0.01%,,-
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  PSOPrec-Pool #4 #800",3,< 0.01%,,,3,< 0.01%,,-
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  RenderThread #32416",3,< 0.01%,,,3,< 0.01%,,-
"    <unknown code in kernel>",3,< 0.01%,3,< 0.01%,3,< 0.01%,0,kernel
"  ADB-JDWP Connec #32381",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  Backgro-Pool #0 #32636",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  binder:32377_2 #32388",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  ConnectivityThr #32409",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  FAsyncLoading #920",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  FMediaTicker #822",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  hwuiTask1 #32594",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  InsetsAnimation #32624",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  InteractionJank #32717",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  IOThreadPool #0 #32680",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  IOThreadPool #2 #32682",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  mali-mem-purge #32437",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  PSOPrec-Pool #1 #750",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  PSOPrec-Pool #2 #751",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  PSOPrecompilePo #811",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  Signal Catcher #32379",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  Thread-5 #32738",2,< 0.01%,,,2,< 0.01%,,-
"    <unknown code in kernel>",2,< 0.01%,2,< 0.01%,2,< 0.01%,0,kernel
"  android.bg #32600",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  AsyncTask #1 #32620",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  AsyncTask #2 #32621",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  Backgro-dby #1) #32635",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  binder:32377_1 #32387",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  FinalizerDaemon #32385",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  FinalizerWatchd #32386",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  Foregro-dby #0) #32630",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  GoogleApiHandle #32445",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  hwuiTask0 #32593",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  IOThreadPool #1 #32681",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  MemoryUsageThre #32596",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in memfd:jit-cache (deleted)>",1,< 0.01%,,,1,< 0.01%,0,memfd:jit-cache (deleted)
"      <unknown code in libjavacore.so>",1,< 0.01%,,,1,< 0.01%,0,libjavacore.so
"        <unknown code in libnativehelper.so>",1,< 0.01%,,,1,< 0.01%,0,libnativehelper.so
"          <unknown code in libart.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libart.so
"  perfetto_hprof_ #32380",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  Profile Saver #32397",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in libc.so>",1,< 0.01%,,,1,< 0.01%,0,libc.so
"      <unknown code in libart.so>",1,< 0.01%,,,1,< 0.01%,0,libart.so
"        <unknown code in libc.so>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,libc.so
"  PSOPrec-Pool #0 #741",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  PSOProgramAcces #32740",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  ReferenceQueueD #32384",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  SurfaceSyncGrou #32611",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  Thread-4 #32718",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
"  Thread-6 #1184",1,< 0.01%,,,1,< 0.01%,,-
"    <unknown code in kernel>",1,< 0.01%,1,< 0.01%,1,< 0.01%,0,kernel
com.YourCompany.SunTemple2:psoprogramservice #32743,34,0.07%,,,34,100.00%,,-
"  com.YourCompany.SunTemple2:psoprogramservice #32743",4,< 0.01%,,,4,11.76%,,-
"    <unknown code in kernel>",4,< 0.01%,4,11.76%,4,11.76%,0,kernel
"  HeapTaskDaemon #32760",4,< 0.01%,,,4,11.76%,,-
"    <unknown code in kernel>",3,< 0.01%,3,8.82%,3,8.82%,0,kernel
"    <unknown code in libart.so>",1,< 0.01%,1,2.94%,1,2.94%,0,libart.so
"  ReferenceQueueD #32761",4,< 0.01%,,,4,11.76%,,-
"    <unknown code in kernel>",4,< 0.01%,4,11.76%,4,11.76%,0,kernel
"  binder:32743_1 #32766",3,< 0.01%,,,3,8.82%,,-
"    <unknown code in kernel>",3,< 0.01%,3,8.82%,3,8.82%,0,kernel
"  mali-event-hand #477",3,< 0.01%,,,3,8.82%,,-
"    <unknown code in kernel>",3,< 0.01%,3,8.82%,3,8.82%,0,kernel
"  binder:32743_2 #301",2,< 0.01%,,,2,5.88%,,-
"    <unknown code in kernel>",2,< 0.01%,2,5.88%,2,5.88%,0,kernel
"  binder:32743_3 #311",2,< 0.01%,,,2,5.88%,,-
"    <unknown code in kernel>",2,< 0.01%,2,5.88%,2,5.88%,0,kernel
"  FinalizerDaemon #32762",2,< 0.01%,,,2,5.88%,,-
"    <unknown code in kernel>",2,< 0.01%,2,5.88%,2,5.88%,0,kernel
"  Profile Saver #423",2,< 0.01%,,,2,5.88%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"    <unknown code in libc.so>",1,< 0.01%,,,1,2.94%,0,libc.so
"      <unknown code in libart.so>",1,< 0.01%,1,2.94%,1,2.94%,0,libart.so
"  ADB-JDWP Connec #32758",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"  FinalizerWatchd #32763",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"  Jit thread pool #32759",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"  mali-cpu-comman #497",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"  mali-mem-purge #496",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"  mali_gles_ref_c #690",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"  perfetto_hprof_ #32757",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
"  Signal Catcher #32753",1,< 0.01%,,,1,2.94%,,-
"    <unknown code in kernel>",1,< 0.01%,1,2.94%,1,2.94%,0,kernel
com.YourCompany.SunTemple2:psoprogramservice1 #32746,16,0.03%,,,16,100.00%,,-
"  Jit thread pool #302",3,< 0.01%,,,3,18.75%,,-
"    <unknown code in kernel>",3,< 0.01%,3,18.75%,3,18.75%,0,kernel
"  ADB-JDWP Connec #300",2,< 0.01%,,,2,12.50%,,-
"    <unknown code in kernel>",2,< 0.01%,2,12.50%,2,12.50%,0,kernel
"  mali-cpu-comman #527",2,< 0.01%,,,2,12.50%,,-
"    <unknown code in kernel>",2,< 0.01%,2,12.50%,2,12.50%,0,kernel
"  perfetto_hprof_ #32767",2,< 0.01%,,,2,12.50%,,-
"    <unknown code in kernel>",2,< 0.01%,2,12.50%,2,12.50%,0,kernel
"  binder:32746_1 #315",1,< 0.01%,,,1,6.25%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.25%,1,6.25%,0,kernel
"  binder:32746_2 #372",1,< 0.01%,,,1,6.25%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.25%,1,6.25%,0,kernel
"  FinalizerWatchd #309",1,< 0.01%,,,1,6.25%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.25%,1,6.25%,0,kernel
"  HeapTaskDaemon #303",1,< 0.01%,,,1,6.25%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.25%,1,6.25%,0,kernel
"  mali-event-hand #525",1,< 0.01%,,,1,6.25%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.25%,1,6.25%,0,kernel
"  ReferenceQueueD #305",1,< 0.01%,,,1,6.25%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.25%,1,6.25%,0,kernel
"  Signal Catcher #32764",1,< 0.01%,,,1,6.25%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.25%,1,6.25%,0,kernel
com.YourCompany.SunTemple2:psoprogramservice2 #32752,15,0.03%,,,15,100.00%,,-
"  com.YourCompany.SunTemple2:psoprogramservice2 #32752",3,< 0.01%,,,3,20.00%,,-
"    <unknown code in kernel>",3,< 0.01%,3,20.00%,3,20.00%,0,kernel
"  FinalizerDaemon #350",2,< 0.01%,,,2,13.33%,,-
"    <unknown code in kernel>",2,< 0.01%,2,13.33%,2,13.33%,0,kernel
"  ADB-JDWP Connec #333",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  binder:32752_1 #354",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  binder:32752_2 #355",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  FinalizerWatchd #351",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  HeapTaskDaemon #340",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  mali-event-hand #615",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  perfetto_hprof_ #317",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  Profile Saver #425",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in libc.so>",1,< 0.01%,,,1,6.67%,0,libc.so
"      <unknown code in libart.so>",1,< 0.01%,1,6.67%,1,6.67%,0,libart.so
"  ReferenceQueueD #341",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  Signal Catcher #313",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
com.YourCompany.SunTemple2:psoprogramservice3 #32756,15,0.03%,,,15,100.00%,,-
"  Jit thread pool #334",5,< 0.01%,,,5,33.33%,,-
"    <unknown code in kernel>",5,< 0.01%,5,33.33%,5,33.33%,0,kernel
"  ADB-JDWP Connec #321",2,< 0.01%,,,2,13.33%,,-
"    <unknown code in kernel>",2,< 0.01%,2,13.33%,2,13.33%,0,kernel
"  mali-event-hand #500",2,< 0.01%,,,2,13.33%,,-
"    <unknown code in kernel>",2,< 0.01%,2,13.33%,2,13.33%,0,kernel
"  perfetto_hprof_ #316",2,< 0.01%,,,2,13.33%,,-
"    <unknown code in kernel>",2,< 0.01%,2,13.33%,2,13.33%,0,kernel
"  Signal Catcher #314",2,< 0.01%,,,2,13.33%,,-
"    <unknown code in kernel>",2,< 0.01%,2,13.33%,2,13.33%,0,kernel
"  binder:32756_3 #405",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
"  FinalizerWatchd #338",1,< 0.01%,,,1,6.67%,,-
"    <unknown code in kernel>",1,< 0.01%,1,6.67%,1,6.67%,0,kernel
com.YourCompany.SunTemple2 #32502,11,0.02%,,,11,100.00%,,-
"  com.YourCompany.SunTemple2 #32502",2,< 0.01%,,,2,18.18%,,-
"    <unknown code in kernel>",2,< 0.01%,2,18.18%,2,18.18%,0,kernel
"  heapprofdunwind #32506",2,< 0.01%,,,2,18.18%,,-
"    <unknown code in kernel>",2,< 0.01%,2,18.18%,2,18.18%,0,kernel
"  heapprofdunwind #32507",2,< 0.01%,,,2,18.18%,,-
"    <unknown code in kernel>",2,< 0.01%,2,18.18%,2,18.18%,0,kernel
"  heapprofdunwind #32509",2,< 0.01%,,,2,18.18%,,-
"    <unknown code in kernel>",2,< 0.01%,2,18.18%,2,18.18%,0,kernel
"  com.YourCompany.SunTemple2 #32504",1,< 0.01%,,,1,9.09%,,-
"    <unknown code in kernel>",1,< 0.01%,1,9.09%,1,9.09%,0,kernel
"  heapprofdunwind #32505",1,< 0.01%,,,1,9.09%,,-
"    <unknown code in kernel>",1,< 0.01%,1,9.09%,1,9.09%,0,kernel
"  heapprofdunwind #32508",1,< 0.01%,,,1,9.09%,,-
"    <unknown code in kernel>",1,< 0.01%,1,9.09%,1,9.09%,0,kernel
